date,description,amount
2021-05-13,"PIZZA PORT",-10.60
2021-05-13,"PEETS COFFEE",-5.09
2021-05-14,"LOCAL MARKET",-40.43
2021-05-14,"CHEVRON",-66.16
2021-05-14,"DOORDASH",-14.84
2021-05-14,"PEETS COFFEE",-5.50
2021-05-14,"GAP",-65.24
2021-05-14,"BART TICKET",-32.94
2021-05-14,"MCDONALDS",-21.59
2021-05-14,"MCDONALDS",-15.01
2021-05-15,"ACH PAYROLL",4418.80
2021-05-15,"COSTCO WHOLESALE",-109.53
2021-05-15,"CHEVRON",-66.33
2021-05-15,"DOORDASH",-41.28
2021-05-15,"PHILZ COFFEE",-11.69
2021-05-15,"DISNEY PLUS",-12.52
2021-05-15,"DAVE AND BUSTERS",-7.78
2021-05-15,"CVS PHARMACY",-24.31
2021-05-15,"STARBUCKS",-15.64
2021-05-15,"STARBUCKS",-24.02
2021-05-16,"WHOLE FOODS MKT",-111.65
2021-05-16,"SHELL OIL",-52.14
2021-05-16,"PIZZA PORT",-27.50
2021-05-16,"PHILZ COFFEE",-8.55
2021-05-16,"WALMART.COM",-84.70
2021-05-16,"PARKING METER",-18.63
2021-05-16,"STARBUCKS",-20.63
2021-05-17,"SHELL OIL",-69.79
2021-05-17,"PIZZA PORT",-19.86
2021-05-17,"STARBUCKS",-10.22
2021-05-17,"DOLLAR STORE",-17.85
2021-05-17,"CLIPPER CARD",-15.93
2021-05-17,"PLAYSTATION NETWORK",-50.67
2021-05-17,"COPAY",-45.16
2021-05-18,"76 STATION",-42.69
2021-05-18,"MCDONALDS",-38.51
2021-05-18,"DUNKIN",-4.42
2021-05-18,"EBAY",-77.57
2021-05-18,"PARKING METER",-3.73
2021-05-18,"AMAZON.COM",-6.08
2021-05-19,"SHELL OIL",-58.19
2021-05-19,"CHIPOTLE",-39.62
2021-05-19,"DUNKIN",-5.56
2021-05-19,"TARGET",-28.60
2021-05-19,"UBER",-5.47
2021-05-19,"MCDONALDS",-13.47
2021-05-19,"7-ELEVEN",-15.86
2021-05-19,"7-ELEVEN",-8.53
2021-05-20,"SHELL OIL",-65.08
2021-05-20,"TACO BELL",-29.14
2021-05-20,"STARBUCKS",-6.89
2021-05-20,"FASTTRAK",-31.90
2021-05-21,"TACO BELL",-17.63
2021-05-21,"PEETS COFFEE",-9.76
2021-05-21,"WALMART.COM",-40.59
2021-05-21,"LIME SCOOTER",-11.00
2021-05-21,"KINDLE EBOOK",-46.66
2021-05-22,"TRADER JOES",-107.09
2021-05-22,"CHEVRON",-66.38
2021-05-22,"TACO BELL",-29.09
2021-05-22,"DUNKIN",-7.09
2021-05-22,"PARKING METER",-25.92
2021-05-22,"STARBUCKS",-24.72
2021-05-23,"SPROUTS FARMERS MKT",-36.77
2021-05-23,"76 STATION",-44.24
2021-05-23,"CHIPOTLE",-28.45
2021-05-23,"DUNKIN",-7.33
2021-05-23,"DAVE AND BUSTERS",-12.81
2021-05-23,"COPAY",-20.43
2021-05-23,"MCDONALDS",-14.83
2021-05-24,"WHOLE FOODS MKT",-60.77
2021-05-24,"EXXON MOBIL",-72.81
2021-05-24,"TACO BELL",-50.19
2021-05-24,"PEETS COFFEE",-10.97
2021-05-24,"GAP",-62.71
2021-05-25,"PIZZA PORT",-39.40
2021-05-25,"PHILZ COFFEE",-8.15
2021-05-25,"TICKETMASTER",-44.85
2021-05-26,"MCDONALDS",-22.90
2021-05-26,"DUNKIN",-7.51
2021-05-27,"SHELL OIL",-68.04
2021-05-27,"DOORDASH",-21.94
2021-05-27,"PEETS COFFEE",-11.37
2021-05-27,"TARGET",-63.88
2021-05-27,"TICKETMASTER",-56.23
2021-05-27,"7-ELEVEN",-6.87
2021-05-28,"ARCO AMPM",-61.31
2021-05-28,"LOCAL BISTRO",-35.65
2021-05-28,"DUNKIN",-4.43
2021-05-28,"BEST BUY",-20.14
2021-05-29,"TRADER JOES",-88.40
2021-05-29,"ARCO AMPM",-38.39
2021-05-29,"UBER EATS",-15.69
2021-05-29,"PHILZ COFFEE",-4.68
2021-05-29,"BEST BUY",-31.42
2021-05-29,"TICKETMASTER",-10.35
2021-05-30,"WALMART SUPERCENTER",-35.31
2021-05-30,"EXXON MOBIL",-55.61
2021-05-30,"DOORDASH",-8.55
2021-05-30,"STARBUCKS",-7.33
2021-05-30,"AMAZON.COM",-48.70
2021-05-30,"WALGREENS",-15.55
2021-05-30,"7-ELEVEN",-13.75
2021-05-30,"AMAZON.COM",-8.33
2021-05-31,"CHEVRON",-72.36
2021-05-31,"UBER EATS",-33.32
2021-05-31,"DUNKIN",-5.51
2021-05-31,"AMAZON PRIME",-16.22
2021-05-31,"TARGET",-46.37
2021-06-01,"PAYROLL DEPOSIT",4257.12
2021-06-01,"SUMMIT VILLAGE APT",-2400.00
2021-06-01,"76 STATION",-52.09
2021-06-01,"SUBWAY",-42.96
2021-06-01,"STARBUCKS",-4.64
2021-06-01,"TARGET",-23.27
2021-06-01,"BART TICKET",-21.12
2021-06-01,"24 HOUR FITNESS",-43.92
2021-06-02,"PANERA BREAD",-13.92
2021-06-02,"PHILZ COFFEE",-4.41
2021-06-02,"NYT SUBSCRIPTION",-13.38
2021-06-02,"PARKING METER",-13.86
2021-06-02,"STARBUCKS",-19.45
2021-06-02,"MCDONALDS",-7.48
2021-06-03,"EXXON MOBIL",-46.63
2021-06-03,"SUSHI HOUSE",-41.42
2021-06-03,"PEETS COFFEE",-4.66
2021-06-03,"DOLLAR STORE",-61.10
2021-06-03,"LIME SCOOTER",-6.65
2021-06-03,"TICKETMASTER",-47.02
2021-06-03,"AMAZON.COM",-21.16
2021-06-04,"PANERA BREAD",-18.32
2021-06-04,"STARBUCKS",-5.71
2021-06-04,"DISNEY PLUS",-19.11
2021-06-04,"UBER",-21.79
2021-06-04,"STARBUCKS",-8.47
2021-06-05,"TRADER JOES",-74.65
2021-06-05,"EXXON MOBIL",-54.49
2021-06-05,"CHIPOTLE",-12.98
2021-06-05,"PEETS COFFEE",-4.04
2021-06-05,"GAP",-47.67
2021-06-05,"CLIPPER CARD",-20.01
2021-06-05,"MCDONALDS",-20.19
2021-06-06,"TRADER JOES",-16.20
2021-06-06,"ARCO AMPM",-64.83
2021-06-06,"UBER EATS",-16.70
2021-06-06,"DUNKIN",-11.65
2021-06-06,"BEST BUY",-148.73
2021-06-06,"AMAZON.COM",-8.43
2021-06-06,"MCDONALDS",-8.21
2021-06-06,"MCDONALDS",-15.40
2021-06-06,"MCDONALDS",-8.41
2021-06-07,"76 STATION",-42.48
2021-06-07,"SUBWAY",-33.36
2021-06-07,"STARBUCKS",-10.23
2021-06-07,"APPLE ICLOUD",-6.21
2021-06-07,"LYFT",-3.07
2021-06-07,"STARBUCKS",-13.61
2021-06-08,"PANERA BREAD",-19.81
2021-06-08,"PEETS COFFEE",-11.93
2021-06-08,"AMAZON.COM",-19.66
2021-06-08,"LIME SCOOTER",-10.57
2021-06-09,"IN-N-OUT BURGER",-41.77
2021-06-09,"PEETS COFFEE",-4.21
2021-06-09,"UNIQLO",-83.19
2021-06-09,"STEAM GAMES",-17.31
2021-06-09,"COPAY",-42.96
2021-06-10,"COSTCO WHOLESALE",-98.06
2021-06-10,"LOCAL BISTRO",-34.30
2021-06-10,"PHILZ COFFEE",-4.33
2021-06-10,"NYT SUBSCRIPTION",-11.02
2021-06-10,"UNIQLO",-26.45
2021-06-10,"LYFT",-6.47
2021-06-10,"STEAM GAMES",-10.28
2021-06-10,"CVS PHARMACY",-14.10
2021-06-11,"76 STATION",-74.53
2021-06-11,"PIZZA PORT",-32.40
2021-06-11,"DUNKIN",-4.93
2021-06-11,"DOLLAR STORE",-82.39
2021-06-11,"AMAZON.COM",-6.27
2021-06-11,"AMAZON.COM",-22.84
2021-06-11,"AMAZON.COM",-20.85
2021-06-11,"MCDONALDS",-18.41
2021-06-11,"MCDONALDS",-15.63
2021-06-12,"SDG&E UTILITIES",-71.06
2021-06-12,"TRADER JOES",-18.04
2021-06-12,"ARCO AMPM",-52.06
2021-06-12,"TACO BELL",-33.83
2021-06-12,"PEETS COFFEE",-6.57
2021-06-12,"GAP",-68.52
2021-06-12,"PLAYSTATION NETWORK",-46.29
2021-06-12,"COPAY",-31.23
2021-06-13,"WALMART SUPERCENTER",-87.03
2021-06-13,"76 STATION",-39.98
2021-06-13,"LOCAL BISTRO",-9.08
2021-06-13,"DUNKIN",-8.51
2021-06-13,"DOLLAR STORE",-15.00
2021-06-13,"FASTTRAK",-33.49
2021-06-14,"CHEVRON",-52.96
2021-06-14,"TACO BELL",-20.58
2021-06-14,"PHILZ COFFEE",-4.51
2021-06-14,"BART TICKET",-9.46
