date,description,amount
2025-01-01,"ACH PAYROLL",4297.87
2025-01-01,"AVALON APARTMENTS",-2400.00
2025-01-01,"SUSHI HOUSE",-40.72
2025-01-01,"PEETS COFFEE",-9.75
2025-01-01,"GAP",-82.30
2025-01-01,"DAVE AND BUSTERS",-41.69
2025-01-01,"EQUINOX",-84.12
2025-01-01,"MCDONALDS",-23.16
2025-01-02,"SHELL OIL",-53.96
2025-01-02,"CHIPOTLE",-42.25
2025-01-02,"PHILZ COFFEE",-7.81
2025-01-02,"BEST BUY",-10.41
2025-01-03,"SUSHI HOUSE",-22.44
2025-01-03,"LOCAL COFFEE SHOP",-7.27
2025-01-03,"GAP",-75.53
2025-01-04,"TRADER JOES",-90.31
2025-01-04,"ARCO AMPM",-60.59
2025-01-04,"UBER EATS",-8.95
2025-01-04,"STARBUCKS",-6.22
2025-01-04,"BEST BUY",-50.80
2025-01-04,"CLIPPER CARD",-16.43
2025-01-05,"WHOLE FOODS MKT",-24.24
2025-01-05,"76 STATION",-74.86
2025-01-05,"TACO BELL",-25.89
2025-01-05,"PHILZ COFFEE",-9.55
2025-01-05,"TARGET",-61.58
2025-01-05,"MCDONALDS",-24.79
2025-01-05,"MCDONALDS",-20.42
2025-01-06,"UBER EATS",-10.83
2025-01-06,"STARBUCKS",-9.89
2025-01-06,"EBAY",-78.91
2025-01-06,"TICKETMASTER",-22.60
2025-01-06,"COPAY",-10.45
2025-01-07,"SAFEWAY",-16.06
2025-01-07,"PIZZA PORT",-20.85
2025-01-07,"PHILZ COFFEE",-8.16
2025-01-07,"GAP",-39.52
2025-01-07,"WALGREENS",-28.48
2025-01-07,"7-ELEVEN",-19.64
2025-01-07,"AMAZON.COM",-23.77
2025-01-07,"MCDONALDS",-21.69
2025-01-08,"SHELL OIL",-55.62
2025-01-08,"PIZZA PORT",-12.23
2025-01-08,"LOCAL COFFEE SHOP",-7.98
2025-01-08,"DOLLAR STORE",-54.48
2025-01-09,"TRADER JOES",-44.45
2025-01-09,"MCDONALDS",-24.48
2025-01-09,"DUNKIN",-6.36
2025-01-09,"DISNEY PLUS",-14.06
2025-01-09,"BEST BUY",-58.85
2025-01-09,"BART TICKET",-15.04
2025-01-10,"EXXON MOBIL",-48.76
2025-01-10,"CHIPOTLE",-9.99
2025-01-10,"LOCAL COFFEE SHOP",-11.55
2025-01-10,"BEST BUY",-55.35
2025-01-10,"AMAZON.COM",-12.86
2025-01-11,"SAFEWAY",-100.95
2025-01-11,"ARCO AMPM",-39.28
2025-01-11,"LOCAL BISTRO",-14.38
2025-01-11,"LOCAL COFFEE SHOP",-10.31
2025-01-11,"UNIQLO",-81.48
2025-01-11,"CLIPPER CARD",-3.73
2025-01-11,"7-ELEVEN",-21.64
2025-01-12,"LOCAL MARKET",-73.31
2025-01-12,"SHELL OIL",-73.49
